group_id	TEST_NAME	UNIT	n	p_missing	deciles	LongName	prefix_meaning	suffix_meaning	group_path
6	bakteeri,nukleiinihaponosoittaminen(kval)␤		173	100					1.1.2.2.2.2.2
6	bakteeri,nukleiinihappo(kval)		118	100					1.1.2.2.2.2.2
6	bakteerit,nukleiinihappo(kva		502	100					1.1.2.2.2.2.2
6	bakteerit,nukleiinihappo(kval),uloste		1132	100					1.1.2.2.2.2.2
6	bk-virus,nukleiinihappo		151	100					1.1.2.2.2.2.2
6	bk-virus,nukleiinihappo(kvant)		280	100					1.1.2.2.2.2.2
6	blastocystishominis,nukleiinihappo		319	100					1.1.2.2.2.2.2
6	bokavirus,nukleiinihappo(kva		109	100					1.1.2.2.2.2.2
6	bokavirus,nukleiinihappo(kval)		213	100					1.1.2.2.2.2.2
6	covid-19,nukleiinihappo		1651	100					1.1.2.2.2.2.2
