concept_id	concept_code	concept_name	vocabulary_id	is_panel	has_component	has_property	has_method	has_scale_type	has_system	has_time_aspect
507534	1063151000000109	Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507535	1063161000000107	Dietetic Intervention for Irritable Bowel Syndrome TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507536	1063171000000100	Dietetic Intervention for Paediatric Enteral Feeding TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507537	1063181000000103	Dietetic Intervention for Paediatric Enteral Feeding TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507538	1063191000000101	Dietetic Intervention for Paediatric Enteral Feeding TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507539	1063201000000104	Dietetic Intervention for Paediatric Enteral Feeding TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507540	1063221000000108	Dietetic Intervention for Paediatric Obesity TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507541	1063231000000105	Dietetic Intervention for Paediatric Obesity TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507542	1063241000000101	Dietetic Intervention for Paediatric Obesity TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507543	1063251000000103	Dietetic Intervention for Paediatric Obesity TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507544	1063261000000100	Dietetic Intervention for Paediatric Obesity TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507545	1063291000000106	Dietetic Intervention for Paediatric Undernutrition TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507546	1063301000000105	Dietetic Intervention for Paediatric Undernutrition TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507547	1063311000000107	Dietetic Intervention for Paediatric Undernutrition TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507548	1063321000000101	Dietetic Intervention for Prevention of Cardiovascular Disease TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507549	1063331000000104	Dietetic Intervention for Prevention of Cardiovascular Disease TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507550	1063341000000108	Dietetic Intervention for Prevention of Cardiovascular Disease TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507551	1063361000000109	Dietetic Intervention for Prevention of Cardiovascular Disease TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507552	1063381000000100	Dysarthria TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507553	1063391000000103	Dysarthria TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507554	1063411000000103	Dysarthria TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507555	1063431000000106	Dysfluency TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507556	1063441000000102	Dysfluency TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507557	1063451000000104	Dysfluency TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507558	1063461000000101	Dysfluency TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507559	1063471000000108	Dysphagia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507560	1063481000000105	Dysphagia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507561	1063491000000107	Dysphagia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507562	1063501000000101	Dysphagia TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507563	1063511000000104	Dysphagia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507564	1063521000000105	Dysphasia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507565	1063531000000107	Dysphasia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507566	1063541000000103	Dysphasia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507567	1063561000000102	Dysphasia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507568	1063571000000109	Dysphonia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507569	1063581000000106	Dysphonia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507570	1063591000000108	Dysphonia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507571	1063611000000100	Dysphonia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507572	1063621000000106	Dyspraxia TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507573	1063631000000108	Dyspraxia TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507574	1063641000000104	Dyspraxia TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507575	1063651000000101	Dyspraxia TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507576	1063661000000103	Dyspraxia TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507577	1063671000000105	Equipment Services (with equipment) TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507578	1063681000000107	Equipment Services (with equipment) TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507579	1063691000000109	Equipment Services (with equipment) TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507580	1063701000000109	Equipment Services (without equipment) TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507581	1063711000000106	Equipment Services (without equipment) TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507582	1063721000000100	Equipment Services (without equipment) TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
507583	1063731000000103	Equipment Services TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507584	1063741000000107	Head Injury TOM (Therapy Outcome Measure) activity score	SNOMED	FALSE						
507585	1063751000000105	Head Injury TOM (Therapy Outcome Measure) carer wellbeing score	SNOMED	FALSE						
507586	1063761000000108	Head Injury TOM (Therapy Outcome Measure) impairment score	SNOMED	FALSE						
507587	1063771000000101	Head Injury TOM (Therapy Outcome Measure) participation score	SNOMED	FALSE						
507588	1063781000000104	Head Injury TOM (Therapy Outcome Measure) wellbeing score	SNOMED	FALSE						
